cell_type,matched_unique_genes,finite_LFC_pairs,LFC_spearman,LFC_perm_p,finite_Wald_pairs,Wald_spearman,Wald_perm_p,all_gene_direction_concordance,discovery_FDR_measurable,same_direction_hits,gene_level_replication_success,direction_binomial_p
Astro,15492,15492,0.1817996292636457,9.999000099990002e-05,15492,0.2125570715425283,9.999000099990002e-05,0.5713916860315001,1,0,0,1.0
Micro,15024,15024,0.04735547031110996,9.999000099990002e-05,15024,0.058468998912983884,9.999000099990002e-05,0.5150425985090522,3,2,1,0.5
OPC,13647,13647,0.05067622860365389,9.999000099990002e-05,13647,0.06578216804876995,9.999000099990002e-05,0.5220194914633253,0,0,0,
Oligo,14307,14307,0.16324710120303587,9.999000099990002e-05,14307,0.16277925041815067,9.999000099990002e-05,0.5647585098203677,30,21,2,0.02138697251677513
