cell_type,matched_unique_genes,finite_LFC_pairs,LFC_spearman,LFC_perm_p,finite_Wald_pairs,Wald_spearman,Wald_perm_p,all_gene_direction_concordance,conjunction_FDR05_genes,tail_1pct_n,tail_1pct_same_fraction,tail_1pct_binom_p,tail_5pct_n,tail_5pct_same_fraction,tail_5pct_binom_p,tail_10pct_n,tail_10pct_same_fraction,tail_10pct_binom_p,LFC_perm_q_BH,Wald_perm_q_BH,vector_convergence_supported
Astro,15423,15423,0.18530066167957102,9.999000099990002e-05,15423,0.22343039974398873,9.999000099990002e-05,0.5779031316864424,0,306,0.6862745098039216,3.175749492397311e-11,1492,0.6715817694369973,4.931391481814497e-41,2891,0.6620546523694223,2.2551879740746755e-69,9.999000099990002e-05,9.999000099990002e-05,True
Micro,14975,14975,0.054761237451223695,9.999000099990002e-05,14975,0.09753698405775696,9.999000099990002e-05,0.527212020033389,0,299,0.6789297658862876,2.9019784512911587e-10,1460,0.6034246575342466,1.33524487209166e-15,2829,0.5913750441852245,1.1418040510678855e-22,9.999000099990002e-05,9.999000099990002e-05,True
OPC,14842,14842,0.15165412797459368,9.999000099990002e-05,14842,0.20110328400375943,9.999000099990002e-05,0.5733054844360598,0,295,0.6576271186440678,3.333956199956353e-08,1437,0.6638830897703549,3.177821006223889e-36,2773,0.6480346195456185,9.061420654453382e-56,9.999000099990002e-05,9.999000099990002e-05,True
Oligo,14241,14241,0.2530899281631158,9.999000099990002e-05,14241,0.28301197835340386,9.999000099990002e-05,0.6069096271329261,0,284,0.7323943661971831,1.1812689677088992e-15,1364,0.7067448680351907,2.5971389575918283e-54,2633,0.6935055070262058,3.6926026011617257e-90,9.999000099990002e-05,9.999000099990002e-05,True
