cell_class,n_genes,rho,spearman_p,sign_agreement,perm_empirical_p_two_sided,null_mean,null_sd
Astro,8999,-0.08716009771586174,1.2022033010834359e-16,0.48105345038337594,9.999000099990002e-05,-0.00017325714455788615,0.010531635585909391
Micro,4931,0.04046927606697341,0.004479774281741278,0.5179476779557899,0.0047995200479952005,-5.700926492230229e-05,0.014174103045084709
OPC,6969,-0.004365529840236528,0.7155793922734147,0.5085378103027695,0.7085291470852915,8.88320048905541e-05,0.011865304707743832
Oligo,10045,-0.040129004480826944,5.745192725239005e-05,0.48810353409656543,9.999000099990002e-05,-4.1812810583102476e-05,0.009993365415815749
