cell_class,n_pairings,positive_pairings,median_rho,min_rho,max_rho,pairings_perm_p_lt_0.05
Astro,4,2,0.0781726224787069,-0.08716009771586174,0.315615556964746,4
Micro,4,4,0.047615256759098556,0.0033416937780416014,0.12037195371820002,3
OPC,4,3,0.11377406325782635,-0.004365529840236528,0.21748352514728805,3
Oligo,4,3,0.14913073938399024,-0.040129004480826944,0.3908917679016623,4
