cell_class,B,median_rho,ci2_5,ci97_5,fraction_rho_gt0
Astro,500,-0.051399890809696466,-0.14764276187800637,0.059187648486425944,0.212
Micro,500,0.01678296978365404,-0.09765181889569001,0.1303706235977175,0.628
OPC,500,-0.0037152463226789063,-0.060804338743030054,0.05238584266305638,0.44
Oligo,500,-0.028477299294650642,-0.1457308627148808,0.08745500082747729,0.302
