module_id,representative_pathway,representative_pathway_rank,representative_priority,n_pathways,pathways,n_FDR_convergent_pathways,max_recurrent_FDR_celltypes,max_same_direction_celltypes,module_leading_edge_genes_n,module_shared_AD_PD_genes_n,candidate_genes_n,candidate_genes,best_candidate_rank
M032,NCAM signaling for neurite out-growth,178,R3_recurrent_directional,1,NCAM signaling for neurite out-growth,0,0,4,43,15,43,SPTAN1;PTK2;FGFR1;CACNB4;NCAM1;SOS1;HRAS;CACNB1;COL6A6;CREB1;ST8SIA4;COL4A2;MAPK3;RPS6KA5;COL4A4;COL6A1;CACNA1C;COL4A3;CACNB2;SPTB;COL5A1;SRC;COL5A3;SPTBN5;GRB2;NCAN;PRNP;COL6A2;COL9A3;COL4A5;COL5A2;SPTBN2;COL9A2;FYN;GDNF;COL4A1;CACNA1D;KRAS;AGRN;CNTN2;GFRA1;CACNB3;GFRA2,217
M033,NRAGE signals death through JNK,180,R3_recurrent_directional,5,"NRAGE signals death through JNK || Death Receptor Signaling || p75 NTR receptor-mediated signalling || G alpha (12/13) signalling events || Cell death signalling via NRAGE, NRIF and NADE",0,0,4,143,49,143,LINGO1;IKBKG;OTUD7B;ARHGDIA;ADAM17;SORCS3;TNFRSF1A;BAG4;TBK1;TNFSF10;FAS;RELA;TIAM2;SOS1;STUB1;TRAF6;TRAF2;TAB2;KALRN;ARHGEF26;ARHGEF12;APH1B;ARHGEF9;CASP3;ARHGEF7;SPPL2B;ARHGEF1;GNB2;ARHGEF4;SMPD2;SPATA2;PLEKHG5;UBE2D1;OTUD1;ITGB3BP;ADRA1A;ARHGEF37;VAV1;GNA13;GNG2;MAPKAPK2;USP4;IKBKB;ROCK2;HDAC3;OMG;ECT2;XIAP;MAP3K7;VAV2;AKAP13;RHOA;RHOC;AATF;TAB1;ARHGEF6;UBE2D3;CHUK;OBSCN;GNG7;FGD4;GNG3;BIRC3;BAD;RHOB;OPTN;RASGRF2;SMPD3;NGEF;FGD1;RIPK1;PLEKHG2;FADD;UBC;MCF2L;NFKBIA;APH1A;MCF2;NET1;NFKB1;MYD88;CFLAR;ULK1;RIPK2;ARHGEF19;HDAC1;TRADD;BCL2L11;CLIP3;TRIO;PSEN1;CASP2;ITSN1;TIAM1;ABR;CASP8;MAGED1;USP2;NSMAF;TRAF1;PREX1;TAX1BP1;SPPL2A;CYLD;BIRC2;UBE2D2;TAB3;ROCK1;ARHGEF40;PRKCI;ARHGEF11;ADRA1D;BTK;USP21;GNG12;UBB;SQSTM1;GNB4;ARHGEF33;ARHGEF10L;RTN4;VAV3;ARHGEF3;GNB5;CASP10;OTULIN;FGD2;YWHAE;HDAC2;BEX3;PLXNB1;ARHGEF17;NCSTN;ARHGEF2;SOS2;UBE2L3;TNFRSF10B;TNFAIP3;IKBKE;TNF;NGFR;GNGT1;TNFRSF10D,18
M034,TP53 Regulates Transcription of Cell Cycle Genes,184,R3_recurrent_directional,21,"TP53 Regulates Transcription of Cell Cycle Genes || G0 and Early G1 || G1/S-Specific Transcription || Deadenylation-dependent mRNA decay || Nuclear RNA decay || TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest || M-decay: degradation of maternal mRNAs by maternally stored factors || Maternal to zygotic transition (MZT) || mRNA decay by 5' to 3' exoribonuclease || Transcription of E2F targets under negative control by DREAM complex || Unfolded Protein Response (UPR) || PERK regulates gene expression || ATF4 activates genes in response to endoplasmic reticulum  stress || Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA || Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA || Z-decay: degradation of maternal mRNAs by zygotically expressed factors || TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain || Deadenylation of mRNA || Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1 || mRNA decay by 3' to 5' exoribonuclease || TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",0,0,4,222,121,222,CDKN1B;ACADVL;SRRT;LSM1;EIF2S2;NCBP2;EIF4A3;NCBP1;TYMS;ATF6B;ATF6;PDIA6;HSP90B1;HSPA5;HYOU1;CCNA2;PATL1;CNOT6L;CREBRF;LIN9;METTL23;ARID3A;PDIA5;EXTL2;ZCCHC8;E2F6;PAN2;CTDSP2;DYRK1A;KLHDC3;KDM1B;SRPK1;CNOT2;YTHDC2;MBTPS1;EXOSC1;MED13;WDR82;ARFGAP1;ZBTB17;NFYC;YAP1;PREB;ATF4;FBXO5;WFS1;E2F5;ATP6V0D1;CREB3L4;TFDP1;ZFP36L1;PLAGL1;E2F4;TNPO1;KPNA2;EDEM1;DCP1B;EXOSC8;EP300;PABPC1;YWHAB;DDX6;ZC3H18;TFDP2;MAPKAPK2;TNKS1BP1;SERP1;NT5C3B;CNOT10;DNAJC3;LSM3;XRN1;EDC3;CPEB1;MYDGF;KDM6A;EXOSC10;PRMT1;RBM26;CNOT4;HIRA;BAX;HERPUD1;MED12L;DIS3;HBS1L;SYVN1;POLR2D;PAN3;EIF4A2;LMNA;TET2;PAPOLG;RBBP4;CCNE1;E2F1;ZFP36L2;TUBB4B;TSPYL2;RGCC;KDM6B;CEBPG;LSM4;UHRF1;PPP2R5B;EXTL1;CREB3;LSM5;EXOSC6;BTG2;DDX11;NFYA;SRPRA;TLN1;AKT1;SRPRB;ZFP36;ELL2;RBL1;ZNF385A;DXO;PLK3;CALR;HDAC1;MPHOSPH6;CNOT11;CNOT8;EIF4B;FKBP14;MBTPS2;AURKA;ZC3H4;ADD1;TET3;EXOSC9;CNOT1;YTHDC1;GFPT1;LIN54;MAX;KDM5A;ZCCHC7;CREBBP;CXXC1;CNOT3;ZFC3H1;DICER1;PARN;EIF4G1;AGO2;DIS3L2;WIPI1;DCPS;LIN52;RBL2;CNOT6;SEC31A;NFYB;DCP2;EIF2AK3;LSM2;EXTL3;PAIP1;POLA1;CCL2;CEBPB;CCNB1;CDKN1A;ORC1;CDC25A;EXOSC2;LSM7;EXOSC5;TP53;PCNA;TPP1;EXOSC4;CDK2;GADD45A;RPS2;DHFR;DNAJB11;KDM4B;LSM6;SHC1;KHSRP;DCP1A;ZC3H3;CARM1;CNOT7;CCNE2;XRN2;E2F7;UNG;C1D;EIF2S3;PAIP2;KDM4C;EXOSC7;CREB3L2;HDGF;TUT7;TENT4A;TUT4;TENT4B;CNOT9;MTREX;NPM2;DDIT3;DCTN1;DNAJB9;PABPN1;NPM1;XBP1;EIF2S1;GSK3A;ELOC;ATF3;EIF4E;STPG4;MYC;BIRC5,70
M035,RND1 GTPase cycle,185,R3_recurrent_directional,3,RND1 GTPase cycle || RND2 GTPase cycle || RND3 GTPase cycle,0,0,4,54,30,54,CKB;TMOD3;EPHA2;PIK3R1;NISCH;PLXND1;NUDC;STIP1;ARHGAP5;PKP4;GOLGA3;FAM135A;TMEM59;TFRC;UBXN11;PLEKHG5;LRRC1;ALDH3A2;PTPN13;CPD;FRS2;LEMD3;ARHGAP21;PICALM;RBMX;TXNL1;SEMA4F;VANGL2;CAV1;PLXNA1;TNFAIP1;SCRIB;RRAS2;FLOT2;FNBP1;DST;ARHGAP35;KTN1;KIDINS220;ROCK1;CCDC88A;RND3;DEPDC1B;RASAL2;VANGL1;RND2;KIF14;FRS3;KCTD13;ANKRD26;PRAG1;DLG5;WDR6;ARHGAP1,31
M036,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,186,R3_recurrent_directional,2,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known || RMTs methylate histone arginines,0,0,4,42,19,42,WDR5;PBRM1;BMI1;PRMT3;PRMT7;ARID2;SMARCB1;PHC3;ACTL6A;EP300;JAK2;RUNX1;AUTS2;RYBP;SMARCD3;SMARCA2;YAF2;PRMT1;SMARCD2;SMARCA4;COPRS;SMARCD1;DNMT3A;SMARCC1;ARID1B;CBX6;PHC1;CCND1;RING1;RBBP7;RPS2;CBFB;CARM1;CSNK2A2;CDK4;PCGF5;CSNK2A1;PRMT6;HIPK2;PHC2;ARID1A;WDR77,326
M037,SLC-mediated transport of inorganic anions,188,R3_recurrent_directional,1,SLC-mediated transport of inorganic anions,0,0,4,24,8,24,SLC4A8;SLC26A7;SLC12A1;SLC12A4;SLC12A6;AHCYL2;SLC4A4;SLC4A7;SLC4A3;SLC26A2;SLC4A2;SLC26A4;SLC20A1;SLC26A11;SLC20A2;SLC12A5;SLC4A10;SLC26A9;SLC26A6;SLC26A3;SLC13A4;SLC12A2;SLC12A7;SLC4A9,93
M038,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,197,R3_recurrent_directional,3,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol || Bile acid and bile salt metabolism || Synthesis of bile acids and bile salts,0,0,4,27,14,27,SCP2;AKR1C3;CYP46A1;RXRA;NCOA1;CYP39A1;CYP7B1;ABCD3;OSBPL1A;NCOA2;OSBPL9;OSBPL6;SLC10A1;ABCC3;SLCO1A2;HSD17B4;ACOT8;AKR1C1;CH25H;BAAT;OSBPL3;HSD3B7;OSBPL2;OSBPL7;CYP27A1;SLCO1B1;ACOX2,382
M039,GRB2:SOS provides linkage to MAPK signaling for Integrins,200,R3_recurrent_directional,4,GRB2:SOS provides linkage to MAPK signaling for Integrins || p130Cas linkage to MAPK signaling for integrins || Integrin signaling || Platelet Aggregation (Plug Formation),0,0,4,23,12,23,PTK2;FN1;ITGA2B;PDPK1;SOS1;RAPGEF3;CRK;BCAR1;SYK;APBB1IP;RAPGEF4;VWF;PTPN1;SRC;TLN1;AKT1;CSK;GRB2;RASGRP2;RAP1A;RAP1B;RASGRP1;ADRA2C,364
M040,PKMTs methylate histone lysines,202,R3_recurrent_directional,1,PKMTs methylate histone lysines,0,0,4,40,16,40,WDR5;EHMT2;KMT2D;RELA;AEBP2;RBBP5;ATF7IP;EED;SMYD3;NFKB2;DOT1L;ASH2L;SUZ12;SETD1B;KMT5A;KMT2C;RBBP4;SUV39H1;NFKB1;PRDM16;SUV39H2;SETD6;KMT2B;SMYD2;EHMT1;KMT5B;KMT2A;DPY30;ASH1L;SETD7;EZH2;MECOM;KMT5C;SETD1A;RBBP7;SETD3;SETD2;NSD2;NSD3;NSD1,326
M041,Caspase-mediated cleavage of cytoskeletal proteins,206,R3_recurrent_directional,3,Caspase-mediated cleavage of cytoskeletal proteins || Apoptotic execution phase || Apoptotic cleavage of cellular proteins,0,0,4,37,17,37,KPNB1;TJP1;SPTAN1;CTNNB1;PTK2;STK24;VIM;CDH1;CASP7;DNM1L;CASP3;APC;PAK2;MAPT;HMGB1;BMX;BCAP31;PRKCQ;DBNL;DFFB;KPNA1;LMNA;LMNB1;GSN;GAS2;PLEC;DFFA;ADD1;CASP8;FNTA;BIRC2;ROCK1;CASP6;HMGB2;ACIN1;OCLN;PRKCD,42
