cell_type,gene_symbol,gene_id_AD,log2FoldChange_AD,lfcSE_AD,stat_AD,pvalue_AD,padj_AD,log2FoldChange_PD,lfcSE_PD,stat_PD,pvalue_PD,padj_PD,brain_AD_PD_same_direction,conjunction_p,conjunction_FDR,retinal_donors_detected,retinal_positive_cells,retinal_total_counts,retina_expression,protein_rows,AD_donors_measured,Control_donors_measured,AD_retina_protein_measured,AD_retina_log2FC,AD_retina_t,AD_retina_pvalue,AD_retina_FDR,Lysis_AD_vs_Control_log2FC,RIPA_AD_vs_Control_log2FC,AD_retina_buffer_direction_consistent,AD_retina_nominal_P05,AD_retina_FDR05,UniProt,PD_AH_mean_Control,PD_AH_mean_PD,PD_AH_log2RFU_diff,PD_AH_Welch_t,PD_AH_pvalue,PD_AH_FDR,PD_AH_nominal_P05,PD_AH_FDR05,PD_AH_FDR05_abs_effect_gt1,PD_AH_FDR05_abs_effect_gt2,PD_aqueous_protein_measured,AD_retina_same_direction_as_AD_brain,PD_aqueous_same_direction_as_PD_brain,AD_retina_nominal_support,AD_retina_FDR_support,AD_retina_buffer_robust_support,PD_aqueous_nominal_support,PD_aqueous_FDR_support,PD_aqueous_strong_support,both_ocular_proteins_measured,both_ocular_same_disease_direction,dual_ocular_nominal_support,dual_ocular_FDR_support,multimodal_directional_support,multimodal_nominal_support,multimodal_FDR_support,matched_pathways,concordant_pathways,convergent_FDR05_pathways,core_evidence_class
OPC,XYLB,ENSG00000093217.10,-0.3410905011383064,0.2450181024980499,-1.392103267720887,0.163891128879227,0.8315279088438513,-0.3309720151464671,0.1537850774130452,-2.1521725040819306,0.0313837703737698,0.7009668157478445,True,0.0819455644396135,0.8720470040530115,7,920.0,949.0,True,1.0,8.0,8.0,True,-3.255324031082637,-3.554929817244855,0.0034703669387063,0.6487411739414223,-2.7289678627662965,-2.487082295195925,True,True,False,O75191,1.1478623657005078,0.0,-1.1478623657005078,-3.9124973171055504,0.0010205948104734,0.0095385450758541,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,1481,854,2,B_dual_ocular_nominal
OPC,SCAMP5,ENSG00000198794.11,-0.1253986865911463,0.1616739364735335,-0.7756271006098404,0.4379691941767001,0.92413841874956,-0.1117261090910329,0.1317478906891384,-0.8480295851920147,0.3964214945130796,0.952591593066792,True,0.21898459708835,0.8720470040530115,7,24746.0,48538.0,True,1.0,8.0,8.0,True,-1.1380471626729047,-3.2766773001885894,0.0065975497880142,0.6725461467577817,-2.295019556661145,0.0189252313153396,False,True,False,Q8TAC9,2.765496083123729,0.1408617876029214,-2.624634295520808,-10.16827995188718,2.183910872691621e-09,1.1242369651731542e-06,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1481,854,2,B_dual_ocular_nominal
OPC,CTCF,ENSG00000102974.15,-0.1187358971055928,0.1802243320771861,-0.658822789004655,0.5100095715161879,0.9395230486736098,-0.0619377769276407,0.1096501855508524,-0.5648670507622244,0.572164196442233,0.974835234448519,True,0.2860820982211165,0.8720470040530115,7,12332.0,15250.0,True,1.0,6.0,8.0,True,-2.42724489239486,-3.8621027879092393,0.0023045280232402,0.5232326125493176,-3.7215502591058858,1.194988407224713,False,True,False,P49711,1.560824888904509,0.0,-1.560824888904509,-4.558636001703392,0.0002434238724258,0.0035430313503216,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1481,854,2,B_dual_ocular_nominal
Oligo,ITGAM,ENSG00000169896.17,-0.4681005767826541,0.3842927118134477,-1.2180834098407007,0.2231922776434048,0.6117461097354818,-0.3226509484684303,0.3514148653069043,-0.9181482638380896,0.3585412499856409,0.8168536159367322,True,0.1792706249928204,0.8234459919902636,6,90.0,104.0,True,1.0,4.0,8.0,True,-2.4715420997741937,-3.280872255656339,0.0133512417727398,0.7540230101889117,-0.8275614465969703,-2.5353083746873324,True,True,False,P11215,1.0017154023372246,0.1648346281343968,-0.8368807742028277,-2.8488921696056795,0.0100342387074937,0.0381045913853603,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,1452,986,1,B_dual_ocular_nominal
Oligo,RABEPK,ENSG00000136933.16,-0.4499115544547876,0.188074770493907,-2.392195153413005,0.0167479345599273,0.2616639966819135,-0.1818657352653987,0.0931635725168758,-1.952112079347915,0.0509248994203722,0.4746545677867287,True,0.0254624497101861,0.8234459919902636,7,11543.0,15427.0,True,1.0,7.0,8.0,True,-1.2325598686236994,-2.2118200032965314,0.0456206999844085,0.8768494707880053,-0.6363626124301618,-2.332045225572696,True,True,False,Q7Z6M1,1.359439018524326,0.4068709616954736,-0.9525680568288524,-2.432546380127838,0.0310113246994132,0.0761369494669373,True,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,False,1452,986,1,B_dual_ocular_nominal
Oligo,SCAMP5,ENSG00000198794.11,-0.1851350293528497,0.213394241019956,-0.8675727539223352,0.3856282673839858,0.7374450822675325,-0.110051624456914,0.1290933982886731,-0.8524961455489868,0.3939387774155926,0.833245713714182,True,0.1969693887077963,0.8234459919902636,7,24746.0,48538.0,True,1.0,8.0,8.0,True,-1.1380471626729047,-3.2766773001885894,0.0065975497880142,0.6725461467577817,-2.295019556661145,0.0189252313153396,False,True,False,Q8TAC9,2.765496083123729,0.1408617876029214,-2.624634295520808,-10.16827995188718,2.183910872691621e-09,1.1242369651731542e-06,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1452,986,1,B_dual_ocular_nominal
Oligo,XYLB,ENSG00000093217.10,-0.0633285728467491,0.2150231288912936,-0.2945198182785505,0.7683607218235525,0.9227233434190542,-0.0742841758202891,0.1229649775840403,-0.6041083996418387,0.5457715754272588,0.892919707273666,True,0.3841803609117762,0.8234459919902636,7,920.0,949.0,True,1.0,8.0,8.0,True,-3.255324031082637,-3.554929817244855,0.0034703669387063,0.6487411739414223,-2.7289678627662965,-2.487082295195925,True,True,False,O75191,1.1478623657005078,0.0,-1.1478623657005078,-3.9124973171055504,0.0010205948104734,0.0095385450758541,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,1452,986,1,B_dual_ocular_nominal
Oligo,NAPEPLD,ENSG00000161048.11,-0.1554877032487816,0.0966041322776911,-1.6095347019093147,0.107499473358334,0.4743030764934443,-0.0497724646005074,0.083178554323454,-0.5983809769878744,0.5495857558748336,0.8942928370633733,True,0.2747928779374168,0.8234459919902636,7,13569.0,17336.0,True,1.0,8.0,8.0,True,-1.0999156635924336,-2.3220018955403874,0.0364053712871161,0.8768494707880053,-1.4173746148749906,-0.7658595169422071,True,True,False,Q6IQ20,1.906573670508867,0.1500890582542448,-1.756484612254622,-5.589013893715705,1.3487320872777518e-05,0.000498417812253,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,1452,986,1,B_dual_ocular_nominal
Oligo,UBTD2,ENSG00000168246.5,-0.0576110967440972,0.1410217890327298,-0.4085262081785552,0.6828873934833835,0.8907397728638823,-0.0217906287152283,0.0888012811107879,-0.2453864228382305,0.8061572407100954,0.9655493053843957,True,0.4030786203550477,0.8234459919902636,7,3365.0,3657.0,True,1.0,8.0,7.0,True,-1.7068046159486805,-3.1846967457119923,0.0076510155011846,0.6851469512664974,0.3784276656907188,-1.8139382726033908,False,True,False,Q8WUN7,3.184119923332655,0.521893033005532,-2.662226890327123,-4.206801735616508,0.0027772816010277,0.0180017193524473,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1452,986,1,B_dual_ocular_nominal
Astro,NDUFB11,ENSG00000147123.10,-0.6259024114195816,0.4405358583529142,-1.420775175395983,0.1553821297718573,0.931431399199011,-0.8597113088526284,0.4332904697707019,-1.9841454378343213,0.0472396290112146,0.5100868226814677,True,0.0776910648859286,0.8649993362827079,7,47466.0,168650.0,True,1.0,8.0,8.0,True,-0.1003515535719792,-0.2538349173518556,0.8035480997961562,0.9329899485080893,0.0469576093766193,-0.2476607165205813,False,False,False,Q9NX14,0.0024018882308741,0.0,-0.0024018882308741,-0.9999999999999998,0.3305649312781842,0.4067658214744228,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
