gene_symbol,candidate_rank,priority_group,pathway,pathway_rank,pathway_priority,n_convergent_FDR_celltypes,n_same_direction_celltypes,shared_AD_PD_leading_edge
GYG1,10493,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
G6PC3,1481,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
UBC,6724,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
UBA52,3152,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
GYS1,5030,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
EPM2A,5781,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
RPS27A,3241,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
GBE1,9605,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
GAA,37,P3_recurrent_dual_ocular_directional,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
SLC37A4,3678,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
UBB,10676,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
PPP1R3C,12470,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
RPL23,3155,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL4,4062,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AASS,3653,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
CKMT2,10411,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS27,6585,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMB5,265,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL23A,10314,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS23,12051,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
DAO,1089,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
EEFSEC,2553,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ACAD8,332,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AZIN1,12410,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ODC1,5917,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL37,14527,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
BCAT1,6536,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AADAT,2083,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS13,6150,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
NAT8L,3998,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
HSD17B10,28,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
GPT2,12768,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL19,5998,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS4Y1,1650,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS7,11014,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMC5,3195,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
TXN2,4003,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AMD1,4218,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
CDO1,3827,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMD14,4697,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL36,10406,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ENOPH1,12226,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
NMRAL1,1760,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SERINC2,17605,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
HYKK,9977,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
DHTKD1,5630,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AANAT,16682,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL11,12718,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS11,6506,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PAPSS2,9893,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMC3,17,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
CTH,433,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GLDC,11602,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL14,7588,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ACAT1,392,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL38,10429,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ADRM1,47,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMD8,1411,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL3,10453,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS15,10422,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL10A,8487,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AIMP2,3887,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
APIP,7326,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMB7,2016,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
CSAD,2056,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS8,14370,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
NNMT,7321,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL6,4551,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
GLUL,8746,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
MTR,4177,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMB2,105,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMA5,7802,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS26,10181,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMD12,7505,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SEPHS2,6841,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SAT1,1573,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL39,6611,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMC2,14864,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS2,11612,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GOT2,7294,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AZIN2,1270,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMD13,3497,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL5,225,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SLC25A12,2196,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL18A,16032,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMA3,12599,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL8,6743,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL13A,14592,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
DIO1,16679,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
DIO2,6797,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMD1,5502,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SLC6A11,9374,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL27A,11413,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ADI1,7905,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMD11,11966,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMB6,137,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PPM1K,12126,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ECHS1,80,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS18,11758,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RIMKLA,2990,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
DDO,1677,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMA7,7580,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PAOX,3753,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AGMAT,17056,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS21,3325,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
DCT,5962,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
TXNRD1,7478,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
MTRR,2403,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SLC7A5,6666,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
HPD,935,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
CKB,31,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL9,14475,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPLP0,3791,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMC1,3157,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RIMKLB,8158,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AFMID,14688,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GLUD2,10188,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
OAT,444,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
DLD,8023,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SRM,11375,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ALDH18A1,11107,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SERINC3,3489,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPSA,7537,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
TP53,11072,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
UBA52,3152,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS5,4725,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
GLS,14483,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PYCR3,14906,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SLC25A44,5788,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SEPSECS,1091,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL24,11741,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMB3,1954,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
GLUD1,922,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS4X,6521,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
DUOX1,6359,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
CRAT,494,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GAMT,4733,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL35A,3320,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
FAU,6259,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
GRHPR,50,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS16,7467,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS24,7712,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SMOX,3584,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
MRI1,9613,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
MPST,14671,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL34,14441,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PNMT,17124,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL37A,6678,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
KYAT1,13887,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS12,3104,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
OGDH,5293,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AHCY,3292,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AIMP1,4717,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
KYAT3,13496,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GSTZ1,68,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPLP2,14462,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL32,11025,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
DBT,14820,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GCDH,1044,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SERINC5,2328,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL29,6296,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ASRGL1,4721,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
DLST,180,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GSR,852,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMA1,173,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SLC44A2,11420,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
IVD,60,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SMS,7809,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL30,11529,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL7,4847,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ETHE1,7985,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
CPS1,11118,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
CARNMT1,4607,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
GATM,264,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
IL4I1,10607,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMD7,83,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PYCR1,10154,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL12,12425,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
BHMT2,11004,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL18,7025,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL39L,10015,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL26L1,11609,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
KMO,16788,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMB4,3555,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SLC22A4,8121,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ARG2,6117,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS25,3560,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SLC25A10,5995,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
HNMT,6866,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMD6,7917,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
HIBADH,362,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS3,228,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
HAAO,10699,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ACADSB,12253,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSTK,4931,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SDSL,2730,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PSMC6,9412,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL7A,10400,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AMDHD1,12227,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS27A,3241,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
DUOXA1,6230,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
CKMT1A,9827,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMC4,2165,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
SUOX,4135,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ASPA,9962,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ADO,7919,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
SIRT5,2466,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
PRODH,17547,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
OAZ2,2366,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
BCKDK,3204,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ALDH7A1,11505,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPLP1,10703,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS9,3289,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
