figure_order,pathway,cell_type,disease,NES,FDR,FDR05
10,Gluconeogenesis,Astro,AD,-1.507566673411284,0.3033807619796348,False
10,Gluconeogenesis,Astro,PD,-1.3621235156388023,0.1847184293103219,False
10,Gluconeogenesis,Micro,AD,-1.10606533821085,0.8672170834065912,False
10,Gluconeogenesis,Micro,PD,-1.7099981336878427,0.0337672266116329,True
10,Gluconeogenesis,OPC,AD,-1.644939474989911,0.1353709667450112,False
10,Gluconeogenesis,OPC,PD,-1.7578686409159152,0.0886183463099818,False
10,Gluconeogenesis,Oligo,AD,-1.3249575126036277,0.7083374070102693,False
10,Gluconeogenesis,Oligo,PD,-1.8562180037479976,0.0364067525839516,True
11,Glycosphingolipid catabolism,Astro,AD,-1.754660436289022,0.0763447435823608,False
11,Glycosphingolipid catabolism,Astro,PD,-1.111106563556444,0.4599367091368095,False
11,Glycosphingolipid catabolism,Micro,AD,-1.6834107359374817,0.2035690731680146,False
11,Glycosphingolipid catabolism,Micro,PD,-1.0291183734104234,0.583730648879554,False
11,Glycosphingolipid catabolism,OPC,AD,-1.6982940232642367,0.1065377911526637,False
11,Glycosphingolipid catabolism,OPC,PD,-1.9333519635730607,0.0221811190165104,True
11,Glycosphingolipid catabolism,Oligo,AD,-1.9370368071373325,0.5057685913523509,False
11,Glycosphingolipid catabolism,Oligo,PD,-1.5292804554235229,0.1518384379550613,False
12,RAC3 GTPase cycle,Astro,AD,1.728756307072649,0.0861149042384331,False
12,RAC3 GTPase cycle,Astro,PD,1.438093988214024,0.4832810067434934,False
12,RAC3 GTPase cycle,Micro,AD,-0.8485285684200197,1.0,False
12,RAC3 GTPase cycle,Micro,PD,-0.7638066803713118,0.9303010195662912,False
12,RAC3 GTPase cycle,OPC,AD,1.3285505812229197,0.6319364579553258,False
12,RAC3 GTPase cycle,OPC,PD,1.535130442623737,0.247831276718242,False
12,RAC3 GTPase cycle,Oligo,AD,1.2987925696264666,0.644778022324934,False
12,RAC3 GTPase cycle,Oligo,PD,1.705834189291368,0.0858979467215424,False
13,Vif-mediated degradation of APOBEC3G,Astro,AD,-1.2719048512762785,0.5083778957739632,False
13,Vif-mediated degradation of APOBEC3G,Astro,PD,-2.3803694053061983,0.0,True
13,Vif-mediated degradation of APOBEC3G,Micro,AD,-1.4309913841895474,0.5698947445764985,False
13,Vif-mediated degradation of APOBEC3G,Micro,PD,-1.8649020206992435,0.0120933644024927,True
13,Vif-mediated degradation of APOBEC3G,OPC,AD,-1.704190390144896,0.1067045632898688,False
13,Vif-mediated degradation of APOBEC3G,OPC,PD,-1.0215578433257575,0.7603949695233271,False
13,Vif-mediated degradation of APOBEC3G,Oligo,AD,-1.3054902412468588,0.7591519136681354,False
13,Vif-mediated degradation of APOBEC3G,Oligo,PD,-1.6546166991788365,0.0963177674047157,False
14,Interferon Signaling,Astro,AD,-1.231501401692399,0.5658891153425594,False
14,Interferon Signaling,Astro,PD,-1.9228556871230973,0.0039381198073607,True
14,Interferon Signaling,Micro,AD,-1.2675752388956218,0.8353868550120318,False
14,Interferon Signaling,Micro,PD,-1.6087128632264054,0.0592018308204425,False
14,Interferon Signaling,OPC,AD,-1.3178876897798577,0.3702306458791644,False
