candidate_rank,gene_symbol,priority_group,best_evidence_class,best_evidence_rank,n_cell_types_present,cell_types,celltype_evidence_signature,n_class_A,n_class_B,n_class_C,n_class_D,n_class_E,n_class_F,n_best_class_celltypes,n_brain_AD_PD_concordant_celltypes,brain_concordant_all_present_celltypes,median_AD_brain_log2FC,median_PD_brain_log2FC,median_conservative_brain_abs_effect,max_conservative_brain_abs_effect,retina_expression,retinal_donors_detected,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,AD_retina_FDR_support_any_celltype,n_AD_retina_same_direction_celltypes,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,PD_aqueous_FDR_support_any_celltype,n_PD_aqueous_same_direction_celltypes,n_multimodal_directional_celltypes,n_multimodal_nominal_celltypes,n_multimodal_FDR_celltypes
2260,CHP1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.1242182380134834,-0.13803577322071908,0.0729485887440767,0.1870855846374736,True,7,1.1974824342115653,0.2171288429648337,0.8768494707880053,False,0,0.5766505620209896,0.0378665336256024,0.0874587836295874,False,0,0,0,0
2261,FAM13A-AS1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.04556301917329395,0.16994846070402936,0.07276160755648656,0.1951719560975876,True,7,,,,False,0,,,,False,0,0,0,0
2262,CORO1B,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.18989185118063756,-0.07274885968441505,0.07274885968441505,0.1068852421370945,True,7,-1.2326593692376695,0.1141794299645552,0.8768494707880053,False,4,,,,False,0,0,0,0
2263,DNAJC9,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.21364761441359725,0.0759771157054504,0.0727312934591581,0.1704015629167663,True,7,-0.174696518851583,0.7025938815884082,0.9036465478164336,False,0,,,,False,0,0,0,0
2264,NME3,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.33881823364840585,-0.07264061980361525,0.07264061980361525,0.2150737393621303,True,7,-0.3052700235345469,0.595266391634943,0.8851127791220113,False,4,,,,False,0,0,0,0
2265,KMT2E,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.26471816077912186,0.07261174757350194,0.07261174757350194,0.177655541289257,True,7,,,,False,0,,,,False,0,0,0,0
2266,ZMAT5,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.3982002479767779,0.09775271915051459,0.0724712851539437,0.2330469632559249,True,7,,,,False,0,,,,False,0,0,0,0
2267,SPPL2B,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.5046709656722955,-0.07229546092151184,0.07229546092151184,0.2198279417907519,True,7,,,,False,0,,,,False,0,0,0,0
2268,MSS51,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.2020616103417716,0.0990619424010881,0.0722888010929226,0.1084832703225848,True,7,,,,False,0,,,,False,0,0,0,0
2269,INTS8,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.158446519841846,0.0721871932605529,0.0721871932605529,0.0965658025249278,True,7,,,,False,0,,,,False,0,0,0,0
2270,PISD,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.126076002565572,-0.1083266854200287,0.07207347967665274,0.1674775440866823,True,7,,,,False,0,,,,False,0,0,0,0
2271,DEF8,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.08719298165282985,-0.0732175677739961,0.07195291469450646,0.1047687928530079,True,7,,,,False,0,,,,False,0,0,0,0
2272,WASF3,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.11745643559653485,-0.074352246103119,0.07183200018480655,0.2411556534530642,True,7,-0.5033320551459681,0.3686306194364391,0.8768494707880053,False,3,,,,False,0,0,0,0
