figure_order,pathway,pathway_rank,priority_group,n_pathways_represented,n_convergent_FDR_celltypes,n_same_direction_celltypes,shared_candidate_genes,Astro_AD_NES,Astro_PD_NES,Astro_AD_FDR,Astro_PD_FDR,Micro_AD_NES,Micro_PD_NES,Micro_AD_FDR,Micro_PD_FDR,OPC_AD_NES,OPC_PD_NES,OPC_AD_FDR,OPC_PD_FDR,Oligo_AD_NES,Oligo_PD_NES,Oligo_AD_FDR,Oligo_PD_FDR
11,Glycosphingolipid catabolism,39,R3_recurrent_directional,3,0,4,SUMF2;ARSG;ARSD;GLA;STS;CTSA;GBA2;GLB1;SMPD1;ARSI;GLB1L;NEU4;NEU3;M6PR;GLB1L2;GM2A,-1.754660436289022,-1.111106563556444,0.0763447435823608,0.4599367091368095,-1.6834107359374817,-1.0291183734104234,0.2035690731680146,0.583730648879554,-1.6982940232642367,-1.9333519635730607,0.1065377911526637,0.0221811190165104,-1.9370368071373325,-1.5292804554235229,0.5057685913523509,0.1518384379550613
12,RAC3 GTPase cycle,40,R3_recurrent_directional,3,0,4,SNAP23;EPHA2;RAPGEF1;VAMP3;RACGAP1;JAG1;SLITRK5;TMPO;ARHGAP39;ARHGAP5;PGRMC2;NHS;NCKAP1;ARAP2;ARHGAP17;LEMD3;ARHGAP32;CYFIP1;ARHGAP21;CAV1;ARHGAP15;NOXA1;NCKAP1L;VRK2;TRIO;SWAP70;ARHGAP35;VANGL1;TAOK3;ERBIN,1.728756307072649,1.438093988214024,0.0861149042384331,0.4832810067434934,-0.8485285684200197,-0.7638066803713118,1.0,0.9303010195662912,1.3285505812229197,1.535130442623737,0.6319364579553258,0.247831276718242,1.2987925696264666,1.705834189291368,0.644778022324934,0.0858979467215424
13,Vif-mediated degradation of APOBEC3G,41,R3_recurrent_directional,93,0,4,PSMC3;ADRM1;PSMD7;PSMB2;PSMB6;PSMA4;PSMD2;PSMD8;PSMB3;PSMB7;PSMC4;PSMD3;UBA52;PSMC1;PSMC5;PSMD13;PSMB4;PSMD14;PSMD1;PSMD12;PSMA7;PSMA5;PSMC6,-1.2719048512762785,-2.3803694053061983,0.5083778957739632,0.0,-1.4309913841895474,-1.8649020206992435,0.5698947445764985,0.0120933644024927,-1.704190390144896,-1.0215578433257575,0.1067045632898688,0.7603949695233271,-1.3054902412468588,-1.6546166991788365,0.7591519136681354,0.0963177674047157
14,Interferon Signaling,43,R3_recurrent_directional,3,0,4,IKBKG;KPNB1;CAMK2A;PTPN11;NCK1;EIF3J;HLA-E;TRIM3;IFIH1;HSPA1A;HERC5;OAS1;HLA-C;IFI6;STAT1;FAAP100;FKBP5;RPS27L;NEDD4;RPS6;FANCM;TRIM8;BECN1;RPS4Y1;TUBA1C;IRF7;NUP93;EIF3E;NUP107;NUP214;EIF2AK2;SEH1L;RSAD2;PIM1;MX1;CD44;TUBB4A;UBA7;IFIT1;MAPT;FANCA;UBA52;RPS15A;RPS27A;TUBA1B;HLA-B;SMAD7;SEC13;FANCC;MAPK3;KPNA2;NDC1;NUP43;PTPN2;DDX58;STAT2;JAK2;HLA-DPB1;IFI44;EIF3L;ILF3;DNAJC3;IRF3;EIF3B;PIAS1;IKBKB;NUP133;NUP88;EIF4A2;IFI44L;IFIT3;TUBB4B;HLA-F;USP18;FANCB;ISG20;RANBP2;ACTG1;MT2A;RPSA;RNASEL;SKP1;IFIT5;PRKRA;EIF3A;EGR1;SOCS3;GBP4;MX2;OAS3;TUBB8;TRIM45;TRIM38;SAMHD1;NUP98;DHX9;TPR;EIF2S3;JAK1,-1.231501401692399,-1.9228556871230973,0.5658891153425594,0.0039381198073607,-1.2675752388956218,-1.6087128632264054,0.8353868550120318,0.0592018308204425,-1.3178876897798577,-1.512359289237177,0.3702306458791644,0.2467843381487278,1.1225876773560275,0.6980396565491344,0.7553943698568939,0.9718020565428702
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",45,R3_recurrent_directional,2,0,4,SUMF2;ARSG;RPS6;ARSD;DPH6;F8;SUMF1;STS;EIF5A2;RCCD1;EEF2;DPH2;FN3KRP;ARSI;ARSA;FN3K;RIOX2,-1.3467963200752833,-1.1952013897222749,0.47376135884808,0.3476266891346783,-1.3993808428938703,-1.2886870708274087,0.611028322219977,0.2472217397809722,-1.6175094480027208,-1.396241605643771,0.1551259020813148,0.3569798392840163,-1.2123344829680798,-0.9086235387433096,0.8440594027697437,0.8277841866026402
16,Sulfur amino acid metabolism,46,R3_recurrent_directional,2,0,4,GOT1;CSAD;CDO1;TXN2;SUOX;MTR;SLC25A10;CBS;GOT2;APIP;ADI1,-1.232932542043352,-1.6014734904484624,0.5674611865822425,0.0533473699839543,-1.2504575570185357,-1.2601080445079624,0.8399985210451971,0.2736983188620893,-1.0436509757887176,-1.5664940270738374,0.6493678841728537,0.2170598936484994,-1.5734991654254846,-1.6626794156203075,0.6595385582393157,0.0975481285377516
17,Citric acid cycle (TCA cycle),47,R3_recurrent_directional,2,0,4,ISCU;IDH3G;NFS1;SIRT3;CS;SUCLG2;IDH3B;ACO2;SUCLG1;OGDH;SDHAF1;MDH2;FH;IDH3A;ISCA2;SDHAF3;SUCLA2;IDH2,-1.0165923991446968,-1.8925425449049984,0.7577256873057898,0.0053351575913254,-1.2417219686378491,-1.936484468814775,0.8422906944424787,0.0074923104186421,-1.591752330436949,-1.4471834585610588,0.1673705351255819,0.3116069134563751,-1.1686147156014934,-1.8361405607397927,0.9022826332914388,0.0424225032919869
18,Amino acid transport across the plasma membrane,48,R3_recurrent_directional,2,0,4,SLC38A2;SLC7A11;SLC6A6;SLC6A12;SLC7A9;SLC16A10;SLC7A1;SLC36A1;SLC7A2;SLC7A6;SLC7A10;SLC1A4,1.7658970278527306,1.1960952901191289,0.0747542470085793,0.5969444174821494,1.0465219092247393,1.367279425936108,0.8952736428529879,0.2638440248325959,-1.212017470595955,-1.455937553125333,0.453981706687116,0.3055682759414174,2.199773565788716,1.4007476625592648,0.0059274188974055,0.2550647467761873
19,Signaling by TGF-beta Receptor Complex,49,R3_recurrent_directional,5,0,4,TGFBR3;ITGAV;WWTR1;PARD3;TGIF1;TGFB2;NEDD4L;SMAD2;MAPK1;SMAD3;ITGB8;E2F5;UBE2D1;SMAD7;E2F4;PPP1CB;EP300;TFDP2;CCNK;TGFBR2;XPO1;SKI;PPP1CC;USP15;ZFYVE9;CCNT2;LTBP2,1.2227062760653098,0.8758242443450384,0.4195044960824569,0.9349026520891328,1.495990955152257,1.3750882715490114,0.4925600237982038,0.2614817669295896,0.9930621521595706,1.166689889025059,0.8976218666347147,0.5828295276622898,1.5869468610975774,1.5273763444904644,0.6249870485424411,0.1685833044030959
20,Translation,50,R3_recurrent_directional,1,0,4,PSMC3;SRP14;VCP;PSMD7;PSMB2;PSMA4;MRRF;EIF3J;RPS3A;MRPS14;MRPL2;APEH;MRPL55;MRPL23;PSMD2;MRPS7;RPL15;TUFM;MRPL41;EEF1B2;MRPS18A;MRPS25;RPS6;PSMD8;MRPS21;MRPS34;RPS4Y1;WARS2;PSMB3;MRPL9;PSMB7;EIF3E;PSMC4;MRPL37;PSMD3;ASCC2;MRPL54;MRPL24;TCF25;PPA1;RPL27;MRPL20;MRPL40;AURKAIP1;MRPL32;MRPL27;RPS12;SSR4;UBA52;RPL23;PSMC1;OXA1L;PSMC5;RPS27A;RPS9;PSMD13;PSMB4;MRPS18B;GFM1;EEF2;RPLP0;AIMP2;MRPL43;RBX1;PABPC1;TARS2;SEC11A;EIF5B;SPCS2;EIF3L;RPL6;EEF1A1;EIF3B;MTFMT;PSMD14;AIMP1;LARS2;MTIF3;KLHDC10;MRPL45;SSR2;EIF4A2;RPL19;RPL10;EEF1A2;MRPS15;RPS11;EIF2B4;RPL18;MRPL16;SRPRA;FARSB;MRPL35;MRPL33;MRPL49;SRPRB;PSMD12;RPSA;RPL14;MRPL21;MRPL10;PSMA5;MRPL4;EIF2B2;RPL10A;SEC61A2;EIF3K;EIF4H;EIF3A;UBE2D2;PSMC6;MRPL34;RPL7A;RPL3;RPL13;NDUFAB1;RPL27A;MRPS26;SRP68;FARSA;CARS2;LTN1;AARS2;MRPL42;EIF2S3;ELOB,-1.7715914121009853,-2.369371713015308,0.0751377488555354,6.407949063805223e-05,-1.479205853190171,-1.326928702786439,0.4580791873722135,0.2112857430146866,-1.6519541869704824,-0.6292771651046136,0.1329539055955241,0.9817261208707548,-1.033387027235384,-1.670771259696064,1.0,0.0991391598481181
