cell_type,n_overlap_genes,lfc_spearman,lfc_pearson,wald_spearman,sign_agreement,top5pct_abs_lfc_sign_agreement,default_n_donors,exact_n_donors,default_primary_FDR,exact_primary_FDR,default_PMD_FDR,exact_PMD_FDR,default_tested_genes,exact_tested_genes
Astro,17247,0.9649241412756475,0.9671129135079408,0.972229939339672,0.9374383950832029,0.9953650057937428,21,21,0,0,0,0,17450,17393
Micro,16622,0.9376185177485505,0.9457194187886491,0.9510709853019303,0.919143304054867,0.9915865384615384,20,20,0,0,0,0,16738,16880
OPC,15648,0.53804710528372,0.5487934288549727,0.5671260170818646,0.7046267893660532,0.8582375478927203,21,19,0,0,0,0,16545,16101
Oligo,16055,0.896345760286719,0.9101124075186419,0.9153262783861094,0.8791030831516662,0.9912826899128269,20,21,4,4,2,2,16201,16406
