variant,cell_type,matched_unique_genes,LFC_spearman,LFC_perm_p,finite_LFC_pairs,Wald_spearman,Wald_perm_p,finite_Wald_pairs,all_gene_direction_concordance,discovery_FDR_measurable,same_direction_hits,gene_level_replication_success,direction_binomial_p
default,Astro,15505,0.18219180701811763,9.999000099990002e-05,15505,0.21059752236102489,9.999000099990002e-05,15505,0.5727184779103515,1,0,0,1.0
default,Micro,15031,0.04502416627144972,9.999000099990002e-05,15031,0.056940435825411896,9.999000099990002e-05,15031,0.5155345619053955,3,2,1,0.5
default,OPC,14399,0.05337862376120066,9.999000099990002e-05,14399,0.05454535352051848,9.999000099990002e-05,14399,0.5164942009861796,0,0,0,
default,Oligo,14253,0.1533811456903132,9.999000099990002e-05,14253,0.1559676891494868,9.999000099990002e-05,14253,0.5590402020627236,29,19,2,0.06802297383546829
exact,Astro,15477,0.18180902819379663,9.999000099990002e-05,15477,0.21070172385648936,9.999000099990002e-05,15477,0.5714285714285714,1,0,0,1.0
exact,Micro,15052,0.043268809277918076,9.999000099990002e-05,15052,0.057571637227857735,9.999000099990002e-05,15052,0.5108955620515546,3,2,1,0.5
exact,OPC,14289,0.033199387070657,9.999000099990002e-05,14289,0.0479152546207965,9.999000099990002e-05,14289,0.5177409195884947,0,0,0,
exact,Oligo,14305,0.16353279495035114,9.999000099990002e-05,14305,0.16309326714359162,9.999000099990002e-05,14305,0.5658860538273331,30,20,2,0.049368573352694525
