cell_type,n_nuclei_default,fraction_default,n_nuclei_exact,fraction_exact
Astro,19881,0.1172878836147393,18618,0.1098368199355775
Micro,7947,0.0468832961665073,8226,0.0485292556015716
OPC,19780,0.1166920345002536,2755,0.0162531119842365
Oligo,22603,0.1333463122249359,41117,0.2425695845574788
Other,99295,0.5857904734935636,98790,0.5828112279211355
