accession,gene,AD_mean,NC_mean,FC_AD_over_NC,p_value,direction,log2FC_signed
Q9NX40,OCIAD1,896.12,1142.06,1.27,0.02982,down,-0.34482849699744117
P17568,NDUFB7,991.53,1313.44,1.32,0.02995,down,-0.4005379295837288
Q8IWN7,RP1L1,374.5,477.47,1.27,0.03,down,-0.34482849699744117
O43920,NDUFS5,551.8,750.25,1.36,0.03162,down,-0.44360665147561484
P49411,TUFM,4369.87,6022.78,1.38,0.03172,down,-0.46466826700344427
Q9ULU4,ZMYND8,776.07,995.12,1.28,0.03182,down,-0.35614381022527536
P18077,RPL35A,858.11,1158.87,1.35,0.03214,down,-0.43295940727610627
O95182,NDUFA7,1481.76,1968.81,1.33,0.03217,down,-0.41142624572646497
Q9BWE0,REPIN1,246.48,353.16,1.43,0.03234,down,-0.5160151470036647
P61254,RPL26,790.13,1117.43,1.41,0.03242,down,-0.49569516262406876
Q9BVG8,KIFC3,60.3,79.7,1.32,0.03247,down,-0.4005379295837288
O00257,CBX4,121.17,175.49,1.45,0.03304,down,-0.5360529002402097
Q96ND0,FAM210A,525.75,675.19,1.28,0.03305,down,-0.35614381022527536
A0A2Y9D025,NDUFA6,1085.9,1548.14,1.43,0.0331,down,-0.5160151470036647
Q8IY26,PLPP6,40.46,51.61,1.28,0.03337,down,-0.35614381022527536
A6NDA9,LRIT2,190.45,301.63,1.58,0.03376,down,-0.6599245584023783
E9PN58,SIRT3,14.48,19.64,1.36,0.03418,down,-0.44360665147561484
Q96JP9,CDHR1,93.2,133.6,1.43,0.03424,down,-0.5160151470036647
A6NCE7,MAP1LC3B2,758.11,997.87,1.32,0.03443,down,-0.4005379295837288
Q9UIV1,CNOT7,35.0,44.95,1.28,0.03469,down,-0.35614381022527536
P61129,ZC3H6,41.59,54.47,1.31,0.03528,down,-0.3895668117627256
H0Y886,NDUFB5,686.26,930.55,1.36,0.03583,down,-0.44360665147561484
O75306,NDUFS2,3339.43,4239.08,1.27,0.03609,down,-0.34482849699744117
A6NCL7,ANKRD33B,112.12,143.49,1.28,0.03611,down,-0.35614381022527536
Q4U2R6,MRPL51,65.3,82.45,1.26,0.03621,down,-0.3334237337251918
Q5T9L3,WLS,209.52,265.35,1.27,0.03652,down,-0.34482849699744117
Q96DA6,DNAJC19,659.5,831.13,1.26,0.03684,down,-0.3334237337251918
Q6UW78,UQCC3,4.6,6.78,1.47,0.03693,down,-0.5558161550616397
Q96EK4,THAP11,40.34,53.56,1.33,0.03707,down,-0.41142624572646497
Q9Y6M7,SLC4A7,986.63,1253.29,1.27,0.03721,down,-0.34482849699744117
Q9H0M0,WWP1,58.12,73.06,1.26,0.03769,down,-0.3334237337251918
O43490,PROM1,1373.75,2156.33,1.57,0.03829,down,-0.6507645591169023
P14415,ATP1B2,3856.77,4906.22,1.27,0.03844,down,-0.34482849699744117
Q96FJ2,DYNLL2,1738.55,2206.07,1.27,0.03844,down,-0.34482849699744117
Q5TEC6,HIST2H3PS2,1995.02,2639.12,1.32,0.03846,down,-0.4005379295837288
Q92522,H1FX,3692.4,4733.97,1.28,0.03874,down,-0.35614381022527536
P46199,MTIF2,298.78,403.1,1.35,0.03885,down,-0.43295940727610627
O60783,MRPS14,15.81,20.1,1.27,0.03888,down,-0.34482849699744117
P45880,VDAC2,9309.14,11981.46,1.29,0.03903,down,-0.36737106564852945
P13073,COX4I1,3735.93,5071.0,1.36,0.0396,down,-0.44360665147561484
O94925,GLS,2301.15,3158.11,1.37,0.0397,down,-0.45417589318580215
P03928,MT-ATP8,607.08,835.02,1.38,0.04006,down,-0.46466826700344427
Q9UJS0,SLC25A13,2378.74,3155.24,1.33,0.04022,down,-0.41142624572646497
O14730,RIOK3,7.62,11.06,1.45,0.04094,down,-0.5360529002402097
Q9NWT8,AURKAIP1,96.36,137.27,1.42,0.04117,down,-0.5058909297299573
P38159,RBMX,6283.71,8055.48,1.28,0.04129,down,-0.35614381022527536
O43676,NDUFB3,632.75,888.93,1.4,0.04177,down,-0.48542682717024166
C9JFV4,PELP1,296.23,383.23,1.29,0.04289,down,-0.36737106564852945
Q5JTZ9,AARS2,905.91,1152.73,1.27,0.04309,down,-0.34482849699744117
Q9ULG6,CCPG1,26.84,45.87,1.71,0.04313,down,-0.7739963251111731
Q9BWF3,RBM4,106.36,139.05,1.31,0.0435,down,-0.3895668117627256
E9PR30,FAU,182.7,295.32,1.62,0.04362,down,-0.6959938131099002
O94929,ABLIM3,558.81,736.3,1.32,0.04386,down,-0.4005379295837288
O95139,NDUFB6,1285.82,1611.76,1.25,0.04495,down,-0.32192809488736235
O60563,CCNT1,19.04,24.51,1.29,0.04542,down,-0.36737106564852945
Q13627,DYRK1A,206.01,259.04,1.26,0.04595,down,-0.3334237337251918
A8CG34,POM121C,153.47,195.31,1.27,0.04671,down,-0.34482849699744117
O75964,ATP5MG,1412.52,1819.9,1.29,0.04704,down,-0.36737106564852945
Q5VST6,ABHD17B,29.79,42.1,1.41,0.04774,down,-0.49569516262406876
Q03001,DST,159.52,215.65,1.35,0.04826,down,-0.43295940727610627
O15042,U2SURP,1291.63,1624.79,1.26,0.04839,down,-0.3334237337251918
O60907,TBL1X,27.97,35.49,1.27,0.04851,down,-0.34482849699744117
O15523,DDX3Y,98.58,187.93,1.91,0.049,down,-0.9335726382610239
Q15696,ZRSR2,61.37,82.41,1.34,0.04906,down,-0.4222330006830478
P11169,SLC2A3,1.3,0.04975,1.2,0.05,down,-0.2630344058337938
