comparison,n_genes,rho,sign_agreement,perm_p
GSE157827_author_Endo_vs_AD174,568,0.05270207458380433,0.5193661971830986,0.21375724855028994
GSE157827_author_Endo_vs_AD222,4942,0.16632968196573733,0.5546337515176042,0.0001999600079984003
GSE157827_author_Endo_vs_PD243,5150,-0.02356191263394316,0.47766990291262135,0.09678064387122576
GSE157827_author_Endo_vs_PD157,4585,0.1801721561053378,0.5568157033805888,0.0001999600079984003
