comparison,cell_class,n_genes,rho,p,sign_agreement,perm_p
AD_replication_Endothelial,Endothelial,570,0.11181071494121009,0.007540803067266477,0.5140350877192983,0.007998400319936013
AD_replication_Pericyte,Pericyte,724,0.11679053666811856,0.0016447015547490632,0.5428176795580111,0.001799640071985603
PD_replication_Endothelial,Endothelial,5876,-0.0019668723954843984,0.8801817542954553,0.497787610619469,0.8834233153369326
Cross_Endo_AD174_PD243,Endothelial,570,0.09656724089640166,0.021119499696909856,0.5385964912280702,0.022595480903819236
Cross_Endo_AD174_PD157,Endothelial,568,0.05428948094608137,0.19636743642380639,0.5193661971830986,0.20035992801439712
Cross_Endo_AD222_PD243,Endothelial,6379,0.17202666435685796,1.4592955541764644e-43,0.5583947327167268,0.0001999600079984003
Cross_Endo_AD222_PD157,Endothelial,5412,0.20066550244450454,2.807375535134176e-50,0.5685513673318552,0.0001999600079984003
Cross_Pericyte_AD174_PD157,Pericyte,771,0.0737727061954396,0.04056921574838769,0.5330739299610895,0.04299140171965607
Cross_Pericyte_AD222_PD157,Pericyte,1436,0.20391815201109026,6.0552353398630555e-15,0.5605849582172702,0.0001999600079984003
