comparison,B,median_rho,ci2_5,ci97_5,fraction_gt0
Cross_Endo_AD174_PD243,300,0.04954615045550188,-0.12496414837258736,0.20936971829788062,0.7766666666666666
Cross_Endo_AD174_PD157,300,0.03224924630776261,-0.17999272566990832,0.26299128658562027,0.6333333333333333
Cross_Endo_AD222_PD243,300,0.1181394051588179,-0.05384471617756818,0.26455343591912706,0.9
Cross_Endo_AD222_PD157,300,0.1306587635961898,-0.028566493831968597,0.2650255904897894,0.9533333333333334
